mechanism_cluster,region,condition,n_candidates,n_cells,holdout_pass_fraction,mean_weighted_ppc_coverage,perturbation_robust_fraction,perturbation_vm_feature_pass_fraction,hidden_flux_plausible_fraction,biological_description_score,buffering_phenotype_labels,step05_evidence_status,validation_label,step06_screen_claim,final_biological_degeneracy_claim_allowed,degeneracy_claim_allowed,claim_scope_after_step06,time_points,elapsed_seconds
M1,DH,MFA,2,2,1.0,0.43055555555555564,0.375,0.5648148148148148,1.0,0.674074074074074,available_surface_voltage_coupled_but_ionic_recruitment_low,candidate_regime_screen,prediction_limited,mechanism_candidate_not_supported_by_step06_screen,False,False,mechanism_candidate_not_supported_by_step06_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass,80,55.11954569399677
M1,DH,MFA_BA,6,6,1.0,0.49185528120713307,1.0,0.5922067901234569,1.0,0.8168124142661182,available_surface_voltage_coupled_but_ionic_recruitment_low;recruited_surface_gap_assisted_buffering,candidate_regime_screen,predictive_supported,candidate_regime_supported_by_step06_predictive_perturbation_screen,False,False,candidate_regime_supported_by_step06_predictive_perturbation_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass,80,55.11954569399677
M1,VH,CONTROL,2,2,1.0,0.08148148148148149,0.0,0.10879629629629632,1.0,0.43805555555555553,kir_dominant_local_buffering;mixed_local_spatial_buffering,candidate_regime_screen,prediction_limited,mechanism_candidate_not_supported_by_step06_screen,False,False,mechanism_candidate_not_supported_by_step06_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass,80,55.11954569399677
M1,VH,MFA,1,1,1.0,0.3055555555555556,0.75,0.38888888888888884,1.0,0.6888888888888889,kir_dominant_local_buffering,candidate_regime_screen,predictive_supported,candidate_regime_supported_by_step06_predictive_perturbation_screen,False,False,candidate_regime_supported_by_step06_predictive_perturbation_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass,80,55.11954569399677
M1,VH,MFA_BA,4,4,1.0,0.25749559082892415,0.5208333333333334,0.3043981481481482,1.0,0.6165454144620812,recruited_surface_gap_assisted_buffering,candidate_regime_screen,predictive_supported,candidate_regime_supported_by_step06_predictive_perturbation_screen,False,False,candidate_regime_supported_by_step06_predictive_perturbation_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass,80,55.11954569399677
M2,DH,CONTROL,7,7,1.0,0.3280423280423281,0.6904761904761905,0.39814814814814814,1.0,0.6833333333333333,low_recruitment_local_storage;mixed_local_spatial_buffering,candidate_regime_screen,predictive_supported,candidate_regime_supported_by_step06_predictive_perturbation_screen,False,False,candidate_regime_supported_by_step06_predictive_perturbation_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass,80,55.11954569399677
M2,DH,MFA,3,3,1.0,0.43055555555555564,0.4097222222222222,0.4992283950617284,1.0,0.6679012345679012,kir_dominant_local_buffering;mixed_local_spatial_buffering,candidate_regime_screen,prediction_limited,mechanism_candidate_not_supported_by_step06_screen,False,False,mechanism_candidate_not_supported_by_step06_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass,80,55.11954569399677
M2,VH,MFA,1,1,1.0,0.3055555555555556,0.7083333333333334,0.3929398148148149,1.0,0.6813657407407407,kir_dominant_local_buffering,candidate_regime_screen,predictive_supported,candidate_regime_supported_by_step06_predictive_perturbation_screen,False,False,candidate_regime_supported_by_step06_predictive_perturbation_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass,80,55.11954569399677
M3,DH,MFA,1,1,1.0,0.43055555555555564,0.3541666666666667,0.4976851851851852,1.0,0.6564814814814814,kir_dominant_local_buffering,candidate_regime_screen,prediction_limited,mechanism_candidate_not_supported_by_step06_screen,False,False,mechanism_candidate_not_supported_by_step06_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass,80,55.11954569399677
M3,VH,MFA_BA,3,3,1.0,0.25749559082892415,0.4236111111111111,0.3595127865961199,1.0,0.608123897707231,kir_dominant_local_buffering;low_recruitment_local_storage;recruited_surface_gap_assisted_buffering,candidate_regime_screen,prediction_limited,mechanism_candidate_not_supported_by_step06_screen,False,False,mechanism_candidate_not_supported_by_step06_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass,80,55.11954569399677
M1,DH,MFA,2,2,1.0,0.43055555555555564,0.375,0.5625,1.0,0.673611111111111,available_surface_voltage_coupled_but_ionic_recruitment_low,candidate_regime_screen,prediction_limited,mechanism_candidate_not_supported_by_step06_screen,False,False,mechanism_candidate_not_supported_by_step06_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass,120,60.88955484800681
M1,DH,MFA_BA,6,6,1.0,0.48191015089163236,1.0,0.5760030864197531,1.0,0.8115826474622772,available_surface_voltage_coupled_but_ionic_recruitment_low;recruited_surface_gap_assisted_buffering,candidate_regime_screen,predictive_supported,candidate_regime_supported_by_step06_predictive_perturbation_screen,False,False,candidate_regime_supported_by_step06_predictive_perturbation_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass,120,60.88955484800681
M1,VH,CONTROL,2,2,1.0,0.08148148148148149,0.0,0.10879629629629632,1.0,0.43805555555555553,kir_dominant_local_buffering;mixed_local_spatial_buffering,candidate_regime_screen,prediction_limited,mechanism_candidate_not_supported_by_step06_screen,False,False,mechanism_candidate_not_supported_by_step06_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass,120,60.88955484800681
M1,VH,MFA,1,1,1.0,0.3055555555555556,0.75,0.3865740740740741,1.0,0.6884259259259259,kir_dominant_local_buffering,candidate_regime_screen,predictive_supported,candidate_regime_supported_by_step06_predictive_perturbation_screen,False,False,candidate_regime_supported_by_step06_predictive_perturbation_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass,120,60.88955484800681
M1,VH,MFA_BA,4,4,1.0,0.2552910052910053,0.4479166666666667,0.2951388888888889,1.0,0.5996693121693122,recruited_surface_gap_assisted_buffering,candidate_regime_screen,prediction_limited,mechanism_candidate_not_supported_by_step06_screen,False,False,mechanism_candidate_not_supported_by_step06_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass,120,60.88955484800681
M2,DH,CONTROL,7,7,1.0,0.3280423280423281,0.6904761904761905,0.39417989417989424,1.0,0.6825396825396826,low_recruitment_local_storage;mixed_local_spatial_buffering,candidate_regime_screen,predictive_supported,candidate_regime_supported_by_step06_predictive_perturbation_screen,False,False,candidate_regime_supported_by_step06_predictive_perturbation_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass,120,60.88955484800681
M2,DH,MFA,3,3,1.0,0.43055555555555564,0.3958333333333333,0.49845679012345673,1.0,0.6649691358024692,kir_dominant_local_buffering;mixed_local_spatial_buffering,candidate_regime_screen,prediction_limited,mechanism_candidate_not_supported_by_step06_screen,False,False,mechanism_candidate_not_supported_by_step06_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass,120,60.88955484800681
M2,VH,MFA,1,1,1.0,0.3055555555555556,0.75,0.3865740740740741,1.0,0.6884259259259259,kir_dominant_local_buffering,candidate_regime_screen,predictive_supported,candidate_regime_supported_by_step06_predictive_perturbation_screen,False,False,candidate_regime_supported_by_step06_predictive_perturbation_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass,120,60.88955484800681
M3,DH,MFA,1,1,1.0,0.43055555555555564,0.3333333333333333,0.4930555555555556,1.0,0.6513888888888889,kir_dominant_local_buffering,candidate_regime_screen,prediction_limited,mechanism_candidate_not_supported_by_step06_screen,False,False,mechanism_candidate_not_supported_by_step06_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass,120,60.88955484800681
M3,VH,MFA_BA,3,3,1.0,0.2552910052910053,0.4166666666666667,0.3522789902998236,1.0,0.6048473324514991,kir_dominant_local_buffering;low_recruitment_local_storage;recruited_surface_gap_assisted_buffering,candidate_regime_screen,prediction_limited,mechanism_candidate_not_supported_by_step06_screen,False,False,mechanism_candidate_not_supported_by_step06_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass,120,60.88955484800681
